Directory,Tree,Branch,BranchTitle,Type,LeafName
myTupleOS1J,DecayTree,nPVs,nPVs/I,Int_t,nPVs
myTupleOS1J,DecayTree,ALLPVX,ALLPVX[nPVs]/F,Float_t,ALLPVX
myTupleOS1J,DecayTree,ALLPVY,ALLPVY[nPVs]/F,Float_t,ALLPVY
myTupleOS1J,DecayTree,ALLPVZ,ALLPVZ[nPVs]/F,Float_t,ALLPVZ
myTupleOS1J,DecayTree,BUNCHCROSSING_ID,BUNCHCROSSING_ID/s,UShort_t,BUNCHCROSSING_ID
myTupleOS1J,DecayTree,BUNCHCROSSING_TYPE,BUNCHCROSSING_TYPE/b,UChar_t,BUNCHCROSSING_TYPE
myTupleOS1J,DecayTree,Decision,Decision/O,Bool_t,Decision
myTupleOS1J,DecayTree,EVENTNUMBER,EVENTNUMBER/l,ULong64_t,EVENTNUMBER
myTupleOS1J,DecayTree,EVENTTYPE,EVENTTYPE/s,UShort_t,EVENTTYPE
myTupleOS1J,DecayTree,FillNumber,FillNumber/i,UInt_t,FillNumber
myTupleOS1J,DecayTree,GPSTIME,GPSTIME/l,ULong64_t,GPSTIME
myTupleOS1J,DecayTree,Hlt1DiMuonHighMassDecision,Hlt1DiMuonHighMassDecision/O,Bool_t,Hlt1DiMuonHighMassDecision
myTupleOS1J,DecayTree,Hlt1DiMuonLowMassDecision,Hlt1DiMuonLowMassDecision/O,Bool_t,Hlt1DiMuonLowMassDecision
myTupleOS1J,DecayTree,Hlt1DiMuonNoIPDecision,Hlt1DiMuonNoIPDecision/O,Bool_t,Hlt1DiMuonNoIPDecision
myTupleOS1J,DecayTree,Hlt1DiMuonNoIP_SSDecision,Hlt1DiMuonNoIP_SSDecision/O,Bool_t,Hlt1DiMuonNoIP_SSDecision
myTupleOS1J,DecayTree,Hlt1DiMuonSoftDecision,Hlt1DiMuonSoftDecision/O,Bool_t,Hlt1DiMuonSoftDecision
myTupleOS1J,DecayTree,Hlt1GlobalDecision,Hlt1GlobalDecision/O,Bool_t,Hlt1GlobalDecision
