tag,removed_variable,n_variables_used,auc,roc_curve_file,score_file,fold_auc_file
drop_NuR_M,NuR_M,27,0.9803729658557375,27_drop_NuR_M.png,27_drop_NuR_M_score.png,27_drop_NuR_M_fold_auc.csv
drop_NuR_log_MIN_PT,NuR_log_MIN_PT,27,0.979390356275132,21_drop_NuR_log_MIN_PT.png,21_drop_NuR_log_MIN_PT_score.png,21_drop_NuR_log_MIN_PT_fold_auc.csv
all_30_variables,NONE,28,0.9793831345501052,01_all_30_variables.png,01_all_30_variables_score.png,01_all_30_variables_fold_auc.csv
drop_Mu_TRACKPT,Mu_TRACKPT,27,0.9793616187361441,05_drop_Mu_TRACKPT.png,05_drop_Mu_TRACKPT_score.png,05_drop_Mu_TRACKPT_fold_auc.csv
drop_W_MIN_PT,W_MIN_PT,27,0.9793584821526322,04_drop_W_MIN_PT.png,04_drop_W_MIN_PT_score.png,04_drop_W_MIN_PT_fold_auc.csv
drop_MuNuR_log_PT,MuNuR_log_PT,27,0.9793554071518586,17_drop_MuNuR_log_PT.png,17_drop_MuNuR_log_PT_score.png,17_drop_MuNuR_log_PT_fold_auc.csv
drop_W_SUM_PT,W_SUM_PT,27,0.9793540210806684,09_drop_W_SUM_PT.png,09_drop_W_SUM_PT_score.png,09_drop_W_SUM_PT_fold_auc.csv
drop_W_log_MIN_PT,W_log_MIN_PT,27,0.9793534130660184,03_drop_W_log_MIN_PT.png,03_drop_W_log_MIN_PT_score.png,03_drop_W_log_MIN_PT_fold_auc.csv
drop_MuNuR_TRACKPT,MuNuR_TRACKPT,27,0.9793506275960306,18_drop_MuNuR_TRACKPT.png,18_drop_MuNuR_TRACKPT_score.png,18_drop_MuNuR_TRACKPT_fold_auc.csv
drop_W_MAX_PT,W_MAX_PT,27,0.9793460484138894,13_drop_W_MAX_PT.png,13_drop_W_MAX_PT_score.png,13_drop_W_MAX_PT_fold_auc.csv
drop_W_log_SUM_PT,W_log_SUM_PT,27,0.9793404682824604,08_drop_W_log_SUM_PT.png,08_drop_W_log_SUM_PT_score.png,08_drop_W_log_SUM_PT_fold_auc.csv
drop_NuR_log_PT,NuR_log_PT,27,0.9793047838429058,22_drop_NuR_log_PT.png,22_drop_NuR_log_PT_score.png,22_drop_NuR_log_PT_fold_auc.csv
