feature,ks_d
Mu_Key,1.0
NuR_Key,1.0
MuNuR_Key,0.9999064283709179
MuNuR_M,0.9958081335942887
Jet1_M,0.9834691933972505
Mu_M,0.9528574421329475
NuR_M,0.9438668908933394
W_M,0.9220920389388633
Jet1_Key,0.8816754372365997
Jet1_PT,0.7398708711518668
W_Key,0.6455838003462679
W_ID,0.5866941143445308
Jet1_E,0.5502260012577975
Jet1_P,0.5498433651556506
Jet1_PZ,0.5481849876821674
NuR_END_VZ,0.5283068411847407
W_PT,0.40575746190825723
NuR_ETA,0.36617163922649915
NuR_THETA,0.3661716392264991
Mu_PT,0.3264839620883789
Jet1_ETA,0.3231628392255874
Jet1_THETA,0.3231628392255874
MuNuR_THETA,0.31394720680390054
MuNuR_ETA,0.31394720680390054
W_END_VX,0.3112347429975788
W_END_VY,0.30508635309980714
W_ETA,0.30387664784452584
W_THETA,0.3038766478445258
NuR_PT,0.28898560261986445
Mu_ETA,0.2869727587633803
Mu_THETA,0.28697275876338024
MuNuR_PT,0.28506854297071427
NuR_END_VX,0.2786508491273665
NuR_END_VY,0.27476951244918246
Jet1_PY,0.2579490310095845
NuR_PZ,0.2540053180138127
Jet1_PX,0.25213464361843374
NuR_E,0.24662437951931765
NuR_P,0.2456310792203028
MuNuR_PZ,0.2383763048272322
Mu_PZ,0.2310424430237687
Mu_E,0.2244580173454992
Mu_P,0.2244580173454992
MuNuR_P,0.20917863531632278
MuNuR_E,0.20917863531632278
W_P,0.2026242104485496
W_PZ,0.20114721592502435
W_E,0.1919817930772263
W_PX,0.18879916557167167
W_PY,0.16773933809986438
MuNuR_PY,0.1118279078740366
MuNuR_PX,0.10900893797173761
Mu_PY,0.0940716457693127
NuR_PX,0.09217077267205454
NuR_PY,0.09195450838556629
Mu_PX,0.0862401300540262
W_END_VZ,0.08611236613190365
MuNuR_Q,0.041593976750890715
Mu_ID,0.041593976750890715
W_Q,0.041593976750890604
Mu_Q,0.041593976750890604
MuNuR_ID,0.041593976750890604
W_PHI,0.03882802981804473
Mu_PHI,0.03812632604810273
MuNuR_PHI,0.022452267537457438
Jet1_PHI,0.008929398033820868
NuR_PHI,0.006386467536817486
NuR_ID,0.0
NuR_Q,0.0
